replicate,mean_injuries,injury_rate,rush_mean_injury_difference,rush_injury_rate_difference,borough_injury_rate_manhattan,borough_injury_rate_bronx,borough_injury_rate_brooklyn,borough_injury_rate_queens,borough_injury_rate_staten_island
1,0.3311475717408231,0.2440360603758009,-0.02561162084429075,-0.007943385228050132,0.19335535747678115,0.2623322451940515,0.2627916843445057,0.24471573424809565,0.21114754098360655
2,0.3348155235977823,0.24611863150686217,-0.025317499915827324,-0.009630251441858695,0.1973954763536669,0.25469021689393245,0.2658040509112436,0.2470416435872904,0.2146103896103896
3,0.3318323811668027,0.24626872672351524,-0.022853133551565152,-0.004640852614761715,0.19607722198235983,0.26193478652495045,0.2609568560444255,0.2502783119117498,0.23256568277651637
4,0.33283614292817004,0.24590286963292338,-0.030989323174432593,-0.01063792772809638,0.19673357436728586,0.2684931506849315,0.2624445959768155,0.2431580018313155,0.22390019697964544
5,0.33276109531984355,0.24552763159129073,-0.029520644452736,-0.011099991892897537,0.19961324932942423,0.2669166057059254,0.261495962600935,0.24682386672598744,0.21866754617414247
6,0.3307066670419047,0.24365144138312742,-0.021951265262653563,-0.004211971446030138,0.1969023818338887,0.27013298854820833,0.255666480997472,0.23969020317843492,0.22871994801819362
7,0.3338023808853742,0.24592163153500501,-0.03653614133426264,-0.013278711858664694,0.1963464566929134,0.26010512959941995,0.266359680621858,0.2395517867958813,0.2369302949061662
8,0.32982485764406794,0.24433625080910704,-0.019924200543993242,-0.004696086069142541,0.19234636169410582,0.2638582966226138,0.26271222321012744,0.24089705808900655,0.2220039292730845
9,0.33194495257929246,0.2450585840392499,-0.023093604104000243,-0.00862609360882477,0.1999123191582639,0.2609927781332846,0.26267104309646616,0.24393396976929196,0.22099447513812154
10,0.3314290002720476,0.24300415576131107,-0.025576785642686117,-0.007364940068142478,0.19660697455230913,0.26188299817184646,0.2591667372343128,0.2390420468068227,0.22585871678548283
11,0.329871762399272,0.24390472706122945,-0.030886734342287614,-0.010572288996430895,0.19709817222536272,0.26181586376468446,0.2600667596231039,0.24367758186397984,0.22340425531914893
12,0.33795814219645587,0.2477790598410867,-0.024931125781707975,-0.005815427835411113,0.20111145415251622,0.2640787315472936,0.2644712272958751,0.24833591912316702,0.22178086726249585
13,0.3314008574189251,0.24413925083724988,-0.029199253886275478,-0.010684466889521793,0.19900747534392865,0.26601253747615156,0.2584245819539937,0.24153984781738086,0.22148541114058357
14,0.33153219073349655,0.2461373934089438,-0.029472721800851254,-0.01166881066792716,0.19315388397246805,0.2678376410629778,0.2689663951120163,0.244803812227517,0.22829688535453943
15,0.33388680944474153,0.24549010778712746,-0.03172950089802551,-0.01149294359053371,0.19803994082840237,0.2627164995442115,0.268328944014952,0.2395483061480552,0.2289278489548213
16,0.3307535717971088,0.24601544104541317,-0.03034747104479757,-0.012448850092379893,0.20080720273207078,0.2692520775623269,0.26022022528793826,0.24568061520023968,0.22151898734177214
17,0.3327329524667211,0.24514301259861726,-0.030392624607740892,-0.009916822862555769,0.19747899159663865,0.27110345452896906,0.2643347166934869,0.23889525898599132,0.21536939313984169
18,0.333145714312517,0.24526496496214786,-0.02942255122716353,-0.00888617278848089,0.19210786739238,0.26467371491068176,0.266232095376962,0.242089809142915,0.23561910952226195
19,0.3315509526355782,0.24545258398296418,-0.03003312260947938,-0.008993738091763986,0.19448086408191298,0.2635079726651481,0.26649290719535124,0.24828381019191262,0.22602057749751078
20,0.33543466636647623,0.24731001228904587,-0.01928382753147523,-0.006772586718115453,0.19507327720611162,0.2712433118708624,0.27091803980312434,0.24590495449949443,0.20845624385447395
21,0.3309693336710476,0.2452931078152703,-0.020721626531207737,-0.005335716831427362,0.20223533064265756,0.2705604075691412,0.2558257559737788,0.24520126958536953,0.23443708609271524
22,0.3305284289721292,0.24436439366222948,-0.026923044123057682,-0.010337804329730943,0.19602705502406922,0.25999817800856334,0.265158371040724,0.2417834521968979,0.2129535435740929
23,0.3329674762427415,0.243876584208107,-0.026125198138730876,-0.009354766887195137,0.1931938148171148,0.2651243918112549,0.2640297932451522,0.24220671653029466,0.20901502504173622
24,0.3354721901706395,0.24642820289120912,-0.0165092136403584,-0.005796369576637622,0.19353227618928706,0.27102888909140616,0.2666525153895139,0.24712905347296,0.22949756888168557
25,0.33585680916331295,0.2476758693796377,-0.02651529439821393,-0.0089711441552085,0.19697254018890348,0.26698233472955746,0.2664036985197438,0.24309057897922132,0.22446324007807417
26,0.33253595249486395,0.2458465839266785,-0.02271340863033533,-0.007468225282614677,0.19643081563403292,0.2708314443739233,0.26216273635011683,0.24720893141945774,0.2304333221363789
27,0.33324890477396596,0.24555577444441318,-0.027193930404748268,-0.01083873120995546,0.19526036794512006,0.2660148039842822,0.26409395973154365,0.24204048418268742,0.2271523178807947
28,0.3289618101483128,0.24337939380294374,-0.02757001758392258,-0.010127144954637651,0.1943217665615142,0.26113951789627465,0.2640226389592837,0.24248054230479538,0.21785834172541121
29,0.3323483334740476,0.24530248876631114,-0.025084535026755672,-0.00939064160499814,0.18900795888951558,0.2649156061016337,0.2699045599151644,0.24133588555309288,0.21134704711347047
30,0.3348436664509048,0.24762896462443362,-0.023093568937691378,-0.00835650870789964,0.19831382911790613,0.26795479402114475,0.2639354701761834,0.24387688931012122,0.2219545767377839
31,0.3318230002157619,0.24582782202459685,-0.02928591027425337,-0.009042201598759958,0.20278685492323817,0.2634457611668186,0.2628164355679939,0.24361046570360642,0.21512605042016808
32,0.33281738102608843,0.24700044090469891,-0.029312594662480262,-0.009674946826458003,0.2001974821031844,0.25801385681293304,0.26550773796904814,0.2458354366481575,0.22388059701492538
33,0.3311100479366598,0.2451148697454948,-0.027059354839511163,-0.012494377244450877,0.19698667662806624,0.2593140427105482,0.2630776398830954,0.24422892357427894,0.23121387283236994
34,0.3343933808009456,0.24655015525473972,-0.019864275878608062,-0.007960901367113332,0.19992500468720706,0.27207142213003876,0.2620666213460231,0.25258715965035666,0.217613056783407
35,0.33361476186455785,0.24633439338080096,-0.02792921613230681,-0.010181082476492548,0.19303464088740163,0.27308982144475663,0.26334111653576736,0.24152415241524153,0.22693096377306904
36,0.3331269524104354,0.24709425041510708,-0.022676483718402474,-0.005193266822272058,0.1971480166884613,0.2659846547314578,0.2637990102778835,0.24293072106645122,0.22935779816513763
37,0.3340462856124354,0.24388596515914784,-0.024844857128778153,-0.007753802442824864,0.19264568401371143,0.2609134262655906,0.2657197371210515,0.24246193651109563,0.2215984147952444
38,0.33323014287188435,0.2452274411579846,-0.02491465051070213,-0.009129784641158795,0.204287045666356,0.2649455277854069,0.26161379604002555,0.24034421665401165,0.22770029192345118
39,0.3330800476552313,0.24583720297563766,-0.02600659549114981,-0.010433483896298307,0.19852104664391354,0.26798038503450783,0.26371254443880143,0.2448959015980239,0.22677966101694916
40,0.32970290528053736,0.24448634602576008,-0.027240002190050294,-0.00876388617153881,0.20029756369722893,0.26094412853145593,0.2615201496344159,0.24076779686634087,0.2301639344262295
41,0.33402752371035377,0.24615615531102544,-0.025554851264854905,-0.009237202479058931,0.19845312205244295,0.2679227941176471,0.26321389054387606,0.24595485417499002,0.2299342105263158
42,0.33045338136380265,0.24388596515914784,-0.02572842042301693,-0.00862975924903886,0.19361425654353073,0.25730887960777193,0.26471714978929894,0.24201646917051617,0.21584424303457536
43,0.3320387620897007,0.24611863150686217,-0.022211895679627558,-0.005947709813226454,0.20178358349557243,0.26667283322541857,0.2627625716104392,0.24422589777976456,0.22100365569956795
44,0.33495623786339457,0.2464188219401683,-0.022239659106113863,-0.0102002786995255,0.20094828124025205,0.2669429097605893,0.2663404255319149,0.2442082037909939,0.22663387210119465
45,0.33015319093049655,0.24543382208088255,-0.025893918593580756,-0.008151867778172922,0.19591760065118027,0.26985576045280263,0.2569124910295918,0.2447475304618162,0.2294751009421265
46,0.3322357620615578,0.24406420322892336,-0.031047083174430223,-0.011453336154474802,0.19037605145967343,0.25922542930215564,0.26215770093537055,0.2420123744801704,0.22041763341067286
47,0.3358849520164354,0.24626872672351524,-0.03427730283549124,-0.014191304249951409,0.19633426529978254,0.2650790731886723,0.2678079579643205,0.24293614881850176,0.2109806629834254
48,0.3292150958264149,0.24446758412367847,-0.03224497980697705,-0.01195545873992837,0.2011916835699797,0.26528940662540956,0.25685975609756095,0.24170119303149804,0.2211286089238845
49,0.33258285725006803,0.24497415547988255,-0.025365056388361562,-0.007177924249570561,0.19065129323776878,0.267900092506938,0.2640937052329991,0.2463622174110065,0.240772096173383
50,0.33387742849370067,0.24541506017880094,-0.02381235329770026,-0.006397567580766511,0.2004603994276115,0.26892448512585815,0.26332672097243914,0.24621096531380326,0.21787345075016307
51,0.3327329524667211,0.24467396504657643,-0.03300149651519513,-0.014318632956469651,0.19799624295554163,0.27422604872687306,0.2618069380321064,0.24233437217251433,0.21892702432522493
52,0.3348811902550681,0.24663458381410708,-0.028198563537613908,-0.010767260141706592,0.19857408555486672,0.27233115468409586,0.26006244198801787,0.24869634977938226,0.2218954248366013
53,0.33545342826855784,0.24621244101727033,-0.025166132076155423,-0.007883176812444381,0.19706341768197438,0.26434704021690014,0.2632531134298216,0.24792715804466148,0.21736292428198434
54,0.3326485239073537,0.24601544104541317,-0.026679659215942397,-0.008219623321438801,0.20110449242988335,0.2625784732963334,0.2665957899213268,0.2472429210134128,0.23433420365535249
55,0.3327423334177619,0.2458559648777193,-0.032222514001112534,-0.012445598058740653,0.19807968077810337,0.2708333333333333,0.26058590790470576,0.24395705053177955,0.21846553966189858
56,0.3314008574189251,0.24451448887888255,-0.029645109437919814,-0.009586379421428454,0.19892870336165497,0.26507791017415216,0.25710754017305315,0.24429967426710097,0.21079691516709512
57,0.3333427142843742,0.2461373934089438,-0.019630243023075256,-0.010991054155301938,0.19451371571072318,0.2625011468942105,0.2641125614510934,0.2495386303556287,0.22295297599473857
