borough,crashes,injury_rate,mean_injuries
BROOKLYN,473775,0.26529855580869355,0.3534464848836933
BRONX,220029,0.25696247687755325,0.35063228072951175
QUEENS,396183,0.24169534800523235,0.32126010012605644
STATEN ISLAND,59992,0.22344645952793707,0.30577410321376186
MANHATTAN,322460,0.19430141623752914,0.2318970558919807
