term,odds_ratio,conf_low,conf_high,p.value
(Intercept),0.1783131172498284,0.1662569448074386,0.1912435466691462,0.0
time_bandOvernight,1.0479581555503752,0.9837586062397774,1.11634733238295,0.1464115994611217
time_bandMorning,1.0567737218349507,1.001123523093639,1.1155173896123083,0.045426539144068
time_bandEvening,1.2905482275282356,1.2334768221896537,1.3502602542783646,2.11923358776745e-28
time_bandNight,1.4966627690382575,1.4191520702983513,1.578406917134923,5.798377026325489e-50
boroughBRONX,1.365710069926194,1.2874071680504107,1.4487755244693306,4.355453302626003e-25
boroughBROOKLYN,1.3727162780467268,1.3062419786286636,1.442573436502716,6.665877738025028e-36
boroughQUEENS,1.256241426335668,1.192870558125531,1.322978851721981,5.714193156597309e-18
boroughSTATEN ISLAND,1.1312614326421027,1.0273394267894072,1.2456958193290457,0.012120264046204062
weekendTRUE,1.0163709524842521,0.9766342437803422,1.0577244445732168,0.4248435989270294
crash_year2014,0.8962832031439233,0.8276099346961511,0.9706548297210371,0.007095464262919414
crash_year2015,0.8582096523711512,0.7927187065881838,0.9291111731082627,0.00015970055460967368
crash_year2016,0.9138302636747305,0.8436099619889947,0.9898955541479505,0.02717746132097357
crash_year2017,0.8877066022309683,0.8180186193763159,0.9633313875486905,0.004295483317079403
crash_year2018,0.9052656844445399,0.8352445586041988,0.9811568970917229,0.015386839357477654
crash_year2019,1.00399850852022,0.926072457532694,1.08848178877541,0.9228787838711772
crash_year2020,1.5901329865718177,1.4527195129852142,1.7405444701351263,8.434747738672886e-24
crash_year2021,1.9785290524925465,1.8101275096569824,2.1625974914324475,4.36437472134107e-51
crash_year2022,2.249135910427526,2.057826154608033,2.4582311446703335,1.979665935622769e-71
crash_year2023,2.6577399657277043,2.4307892177591777,2.905879980798113,3.4010058130872952e-102
crash_year2024,2.890091963937329,2.64243852795924,3.1609558639253867,2.908717980560662e-119
crash_year2025,2.8359071068903847,2.596222662547124,3.0977193269783405,2.000050240003113e-118
