crash_hour,crashes,injury_rate,mean_injuries
0.0,71799,0.2707558601094723,0.386648839120322
1.0,37986,0.2636497657031538,0.3922234507450113
2.0,29319,0.2658759433547114,0.39923976778704084
3.0,25874,0.27521836592718557,0.40519440364845016
4.0,29326,0.279717656686899,0.41212575871240537
5.0,31778,0.2703757316382403,0.3687456731071811
6.0,48600,0.2603587405436069,0.33918867817017223
7.0,66572,0.2546566123895932,0.3416451360932524
8.0,117108,0.2215592819566839,0.290599141800301
9.0,111670,0.20116559307440432,0.26125375915436744
10.0,104417,0.19679248954850592,0.25617125514158046
11.0,109008,0.20839754880375752,0.27325517393218846
12.0,115876,0.21445493985305783,0.28205356320038266
13.0,121363,0.22129479330603233,0.29431540090472386
14.0,140375,0.22584626278296607,0.3027549499898872
15.0,132671,0.24937918059803432,0.3351865230514204
16.0,151862,0.23383307636085315,0.3111935833969792
17.0,148817,0.24950911680015028,0.32830430534079985
18.0,130903,0.2642261827460028,0.34885373138889103
19.0,108207,0.27720220784543137,0.37086598106921576
20.0,90568,0.2895776109296358,0.39547785101292066
21.0,77622,0.2967071191157146,0.41807734920512224
22.0,70751,0.28942347104634564,0.41863719240717445
23.0,59672,0.2912588818876525,0.4264479152701435
