sample,crashes,mean_injuries,injury_rate,borough_recorded,coordinates_valid
Full data,2132144,0.33217408352039235,0.2454263960009868,0.6905907856129793,0.8910434754875843
Year-stratified 5% sample,106601,0.33272357151568027,0.24547134588504582,0.6890460689862197,0.8910235363645744
